## DEGs of mapped genes


## T0s VS T14s ##


## NS (469)
Comparison of groups:  2-1 
                    logFC    logCPM       PValue          FDR
XM_048723441.1   0.8890008  5.107725  2.187170e-04  4.690436e-03
XM_032367590.2   0.9338858  5.361525  2.227940e-04  4.761046e-03
XM_048731280.1   1.1866253  9.043477  2.283275e-04  4.862175e-03
XM_048722130.1  -1.0498452  7.431427  2.309994e-04  4.901872e-03
XM_048726173.1   1.2084861  8.175430  2.418609e-04  5.114473e-03
XM_001628583.3   0.9963384  4.661552  2.442112e-04  5.146242e-03
XM_032382123.2  -1.0246625  6.616511  2.452073e-04  5.149353e-03
XM_048725998.1   1.3471428  5.602182  2.538156e-04  5.311748e-03
XM_001633796.3   1.0086622  5.387934  2.594476e-04  5.397708e-03
XM_048721326.1  -0.9982841  4.649111  2.597019e-04  5.397708e-03
XM_048722628.1  -0.9104141  4.371404  2.630680e-04  5.448086e-03
XM_001636034.3  -1.1687970  5.323099  2.639211e-04  5.448086e-03
XM_032375357.2  -0.9693854  5.086824  2.673693e-04  5.500557e-03
XM_032370047.2   0.7998374  4.411540  2.724139e-04  5.585406e-03
XM_001634542.3  -0.8212596  4.436879  2.766239e-04  5.652629e-03
XM_032384885.2  -0.8854879  4.292397  2.792375e-04  5.686886e-03
XM_048729010.1  -0.9089248  5.578815  2.851957e-04  5.775454e-03
XM_032363570.2   0.9584041  6.883772  2.854896e-04  5.775454e-03
XM_048721305.1   1.4606645  7.628534  2.868017e-04  5.782722e-03
XM_048720024.1   0.8935671  4.998127  2.881081e-04  5.789828e-03
XM_048721253.1  -0.8876854  4.121104  2.959056e-04  5.926901e-03
XM_048728389.1   0.9329533  6.140475  2.986769e-04  5.941504e-03
XM_048728988.1   1.0925998 10.464389  2.990844e-04  5.941504e-03
XM_001619813.3  -1.0021714  4.704774  2.995716e-04  5.941504e-03
XM_001629597.3  -1.0348217  8.457639  3.015472e-04  5.961205e-03
XM_048719979.1  -0.9836692  6.702083  3.079956e-04  6.031444e-03
XM_048732822.1  -0.9970618  6.681624  3.088778e-04  6.031444e-03
XM_032379789.2  -0.8760198  5.594919  3.094663e-04  6.031444e-03
XM_032363538.2   0.9854474  8.387619  3.100152e-04  6.031444e-03
XM_048721531.1  -1.1765051  4.837677  3.110096e-04  6.031444e-03
XM_048725785.1  -0.9875999  5.122561  3.111506e-04  6.031444e-03
XM_032370281.2  -1.1877318  7.963875  3.120569e-04  6.031444e-03
XM_032379211.2   0.7928186  4.364382  3.299052e-04  6.356174e-03
XM_048733407.1  -1.1629965  5.629063  3.360290e-04  6.453671e-03
XM_001640912.3   1.0591325  7.247865  3.473621e-04  6.650286e-03
XM_001633518.3   1.0404664  4.698700  3.488831e-04  6.658401e-03
XM_048729633.1  -0.8019512  4.561673  3.516584e-04  6.669623e-03
XM_001625714.3   0.8579407  5.344909  3.522761e-04  6.669623e-03
XM_048723760.1  -1.0882364  5.449959  3.527680e-04  6.669623e-03
XR_004297331.2  -1.0685104  6.828707  3.582346e-04  6.751944e-03
XM_032378741.2   2.2450786  6.888721  3.664919e-04  6.886190e-03
XM_048729791.1   1.2105435  7.824435  3.743013e-04  6.994883e-03
XR_007314261.1  -1.3388899  8.802645  3.745818e-04  6.994883e-03
XM_048732700.1   0.8319128  5.214953  3.805638e-04  7.070936e-03
XM_048729736.1  -0.9099375  5.294890  3.824354e-04  7.070936e-03
XM_001633659.3  -1.0013330  6.620709  3.848422e-04  7.070936e-03
XM_001631518.3   0.9046012  5.535018  3.856781e-04  7.070936e-03
XM_032371824.2  -0.9729853  7.015657  3.867716e-04  7.070936e-03
XR_007306989.1  -1.1215474  5.477320  3.883547e-04  7.070936e-03
XM_032377681.2   1.0436362  5.099146  3.886107e-04  7.070936e-03
XM_048729205.1  -1.3734288  5.965923  3.889074e-04  7.070936e-03
XM_032382727.2   1.0239132  6.497133  3.891403e-04  7.070936e-03
XR_007308206.1  -1.1540841  6.313550  3.925119e-04  7.110910e-03
XM_048723477.1   0.9725380  6.619398  4.017183e-04  7.236613e-03
XM_048728488.1  -1.1155819  7.853416  4.018353e-04  7.236613e-03
XM_048721863.1   0.7675303  4.150715  4.103148e-04  7.367458e-03
XM_048728498.1  -1.3980386  5.264104  4.119102e-04  7.374287e-03
XM_001630411.3  -0.8758359  5.353983  4.208556e-04  7.512272e-03
XM_032364762.2  -0.8053818  4.178425  4.278528e-04  7.614776e-03
XM_032383259.2  -0.9802789  6.117162  4.298100e-04  7.627243e-03
XR_007314072.1  -1.0943018  5.548414  4.329719e-04  7.656078e-03
XM_001635222.3   0.8613680  5.712244  4.339580e-04  7.656078e-03
XM_001640140.3   1.0415443 11.755848  4.436412e-04  7.802871e-03
XM_048732033.1  -1.0816017  4.400165  4.448498e-04  7.802871e-03
XM_032379829.2  -0.9089469  6.441552  4.506132e-04  7.881186e-03
XM_032382011.2  -0.8070948  4.674972  4.576687e-04  7.981585e-03
XM_032378053.2  -0.9103720  5.168050  4.590617e-04  7.982938e-03
XM_032376414.2   0.8985938  5.453218  4.718362e-04  8.176578e-03
XM_032383977.2  -0.8641209  6.260691  4.728915e-04  8.176578e-03
XM_048731564.1   0.9730977  9.254367  4.794878e-04  8.267078e-03
XM_001625226.3  -0.9134183  4.745804  4.817896e-04  8.283233e-03
XM_032375101.2  -0.8424251  4.458137  4.887949e-04  8.363626e-03
XM_001636428.3  -2.1109005  6.742520  4.892218e-04  8.363626e-03
XM_032381131.2   0.9918083  5.253605  4.946065e-04  8.431929e-03
XM_001635264.3   0.8204453  5.493059  4.997786e-04  8.496236e-03
XM_048720611.1  -0.8884209  4.375814  5.071342e-04  8.597200e-03
XM_001637279.3  -0.9698089  8.219962  5.091643e-04  8.607572e-03
XM_032381281.2  -0.7525448  4.231288  5.341049e-04  9.004118e-03
XM_001627857.3   0.9767961  4.835040  5.458315e-04  9.154954e-03
XM_048720649.1  -0.9646268  4.796272  5.460691e-04  9.154954e-03
XM_032375534.2   0.9377162  4.366047  5.568644e-04  9.310221e-03
XM_048723167.1   0.8572195  5.214519  5.673797e-04  9.459966e-03
XM_032378782.2  -0.7665161  4.184842  5.712448e-04  9.498314e-03
XM_032379717.2  -0.7365537  4.250675  5.746526e-04  9.526421e-03
XM_032381920.2  -1.2629535  5.460866  5.797227e-04  9.526421e-03
XM_032364001.2   0.8373650  4.984335  5.799880e-04  9.526421e-03
XM_048727062.1  -1.0438045  7.597617  5.807550e-04  9.526421e-03
XM_032379946.2  -1.2294876  6.447880  5.807836e-04  9.526421e-03
XM_001640047.3   0.9003142  4.279153  5.851955e-04  9.572915e-03
XM_001622639.3   0.9980987  5.401853  5.900266e-04  9.625998e-03
XM_048720311.1   1.0712306  8.956794  5.926404e-04  9.642720e-03
XM_032384120.2  -0.7651262  4.002469  5.972975e-04  9.692509e-03
XM_001637865.3  -1.0126842  8.404636  6.064155e-04  9.814229e-03
XM_001641466.3   0.9172213  6.433834  6.164271e-04  9.949723e-03
XM_048721893.1  -0.8215380  4.309439  6.188519e-04  9.962367e-03

## NH (43)
Comparison of groups:  6-5 
                    logFC    logCPM       PValue          FDR
XM_032369564.2 -1.9666297  6.734691 2.438633e-09 9.092540e-06
XM_048731718.1 -2.1187421  6.065340 3.258975e-09 9.092540e-06
XR_004295687.2  1.6247584  5.175702 2.446289e-08 4.550097e-05
XM_001628020.3 -1.4943317  5.486988 4.977106e-08 6.943063e-05
XM_032382924.2 -1.2980176  4.589324 8.027548e-08 8.958744e-05
XM_032381836.2  1.8152281  6.634765 1.132994e-07 1.045261e-04
XM_048733772.1 -1.5786778  5.195884 1.311259e-07 1.045261e-04
XM_032364762.2 -1.3321351  4.654509 1.748793e-07 1.219783e-04
XM_048725094.1 -1.1359104  4.331255 2.050139e-07 1.271086e-04
XM_001636034.3 -1.2593513  5.022944 6.792065e-07 3.633247e-04
XM_048725419.1  2.6358722  7.545180 7.162315e-07 3.633247e-04
XM_001641466.3  1.9966084  6.236027 1.355128e-06 5.371623e-04
XM_001627599.3 -1.6693738  7.255495 1.396551e-06 5.371623e-04
XM_048723501.1  1.8519985  5.234450 1.434435e-06 5.371623e-04
XM_032384424.2  1.4160722  4.612286 1.443985e-06 5.371623e-04
XM_001632539.3  2.2779405  6.482279 3.884028e-06 1.354555e-03
XM_001624935.3 -1.1005196  4.526330 4.951881e-06 1.625382e-03
XM_048730410.1 -1.2653768  5.067511 6.989412e-06 1.935542e-03
XM_032371878.2  1.7408792  5.152801 7.449176e-06 1.935542e-03
XM_032373961.2  1.2887161  6.107540 7.480961e-06 1.935542e-03
XM_048729070.1  1.7154057  9.788018 7.553785e-06 1.935542e-03
XM_001622599.3 -1.1192740  4.528307 7.631171e-06 1.935542e-03
XM_001629293.3  2.1783384  5.954073 1.622765e-05 3.936969e-03
XM_048727740.1  1.0313931  4.540653 1.724222e-05 4.008817e-03
XM_001639572.3 -1.4263466  6.137799 1.821363e-05 4.065282e-03
XM_032372917.2  1.0802371  4.859857 1.960561e-05 4.207665e-03
XM_032386556.2  1.6413972  4.916702 2.335850e-05 4.810297e-03
XM_048723557.1 -1.8666421  6.405858 2.413769e-05 4.810297e-03
XM_032385144.2 -1.2564114  5.873819 2.562423e-05 4.900523e-03
XM_032375534.2  0.9426138  4.184058 2.647815e-05 4.900523e-03
XM_001636932.3 -1.1460136  5.484955 2.722513e-05 4.900523e-03
XM_032385537.2  1.5874237  4.864580 3.092509e-05 5.392563e-03
XM_048726238.1  1.3447040  5.805848 3.503577e-05 5.857430e-03
XM_032372536.2  1.2829752  5.071198 3.569044e-05 5.857430e-03
XM_048729334.1 -1.2303322  5.886292 3.844439e-05 5.926691e-03
XM_048720799.1  1.2477937  6.026533 3.860173e-05 5.926691e-03
XM_032379332.2  1.0440208  5.351042 3.979070e-05 5.926691e-03
XM_048734688.1 -1.6432025 10.863386 4.036098e-05 5.926691e-03
XM_032381469.2  1.2969279  5.907940 4.381648e-05 6.269127e-03
XM_032365761.2 -1.1655235  5.880329 4.792312e-05 6.685276e-03
XM_048726145.1  1.6595311  6.810551 6.081099e-05 8.218041e-03
XM_048726018.1 -1.3146491  7.097237 6.272561e-05 8.218041e-03
XM_048728999.1  1.3743175  6.701653 6.332899e-05 8.218041e-03

## FIELD (25)
Comparison of groups:  8-7 
                    logFC    logCPM       PValue          FDR
XM_001629965.3 -1.5657514  5.647559 3.650538e-09 2.367009e-05
XM_032366283.2 -1.3245417  5.897205 1.870056e-07 4.355464e-04
XM_032384803.2 -1.2809979  5.380560 2.015174e-07 4.355464e-04
XM_048734625.1  1.4844071  5.352004 2.954470e-07 4.789195e-04
XM_048732439.1  2.1442767  6.836158 4.538859e-07 5.885993e-04
XM_032381131.2 -1.1922508  4.860413 6.435999e-07 6.955170e-04
XM_032385682.2  1.2972765  4.912543 8.497537e-07 7.165852e-04
XM_032377463.2  1.1410970  4.667916 8.841273e-07 7.165852e-04
XM_032371824.2  1.3306695  6.132322 1.178623e-06 8.491323e-04
XM_048725001.1  1.5960448  5.680421 3.487411e-06 2.261237e-03
XM_048724214.1  1.5095025 10.034404 4.675846e-06 2.534168e-03
XM_048726145.1 -1.4525989  6.442169 4.690008e-06 2.534168e-03
XM_048733179.1 -1.4080892  5.423451 8.937601e-06 4.457800e-03
XM_001634132.3  0.9676553  4.249584 1.280890e-05 5.932350e-03
XM_048726383.1 -1.3334057  6.786362 1.594669e-05 6.575527e-03
XM_001632982.3  1.8629279  9.872144 1.696922e-05 6.575527e-03
XM_048719951.1  1.1544914  4.730753 1.723997e-05 6.575527e-03
XM_001629432.3 -1.1268505  6.231575 1.936917e-05 6.717308e-03
XM_048723130.1 -1.1745323  5.025509 1.968366e-05 6.717308e-03
XM_032366282.2 -1.0978192  5.798866 2.111644e-05 6.845951e-03
XM_032386219.2 -1.1769765  6.325145 2.542572e-05 7.692210e-03
XM_032364280.2 -1.2176612  4.948097 2.609942e-05 7.692210e-03
XM_032381223.2 -1.4565155  6.041610 2.763606e-05 7.790965e-03
XR_007306796.1  1.8542705  7.648405 2.905258e-05 7.849040e-03
XM_001636455.3  1.3191173  5.548957 3.088267e-05 8.009730e-03

## MA  (25)
Comparison of groups:  10-9 
                   logFC   logCPM       PValue          FDR
XM_001632539.3  2.076712 5.711239 7.967054e-08 0.0004726853
XR_007306819.1  2.404920 6.798922 5.381129e-07 0.0010761062
XR_004292988.2 -2.268902 5.741252 6.448558e-07 0.0010761062
XM_032385756.2 -1.804647 5.574414 7.255056e-07 0.0010761062
XM_001628020.3 -1.381674 5.665028 1.452901e-06 0.0017240125
XM_001635041.3  1.758229 5.341432 2.984661e-06 0.0025942608
XM_001625470.3  2.195243 5.861312 3.366789e-06 0.0025942608
XM_001636932.3 -1.383486 5.902740 3.498076e-06 0.0025942608
XM_001631917.3 -1.510364 5.846985 4.692756e-06 0.0030935692
XM_032378581.2 -1.080576 4.431544 6.593336e-06 0.0037161800
XM_032362107.2 -1.165157 4.406379 6.889934e-06 0.0037161800
XM_048724741.1  2.067837 8.818108 8.293342e-06 0.0041003665
XM_001637875.3  1.334595 4.721522 9.014990e-06 0.0041143028
XM_048721533.1 -1.218334 4.709516 1.065761e-05 0.0045165426
XM_048730053.1  1.947393 8.045215 1.163205e-05 0.0046008634
XM_032362443.2 -1.172255 4.568962 1.261979e-05 0.0046233735
XM_001630092.3  3.699063 7.211042 1.453200e-05 0.0046233735
XM_048721527.1 -1.573339 6.079474 1.461118e-05 0.0046233735
XR_004294420.2 -1.055733 4.313111 1.480602e-05 0.0046233735
XM_048733907.1 -1.298545 4.741525 1.774546e-05 0.0050253121
XM_032364263.2 -1.498300 6.721095 1.778722e-05 0.0050253121
XM_032365359.2  1.372050 4.815168 2.875972e-05 0.0077559731
XM_048730855.1  1.031667 4.527589 3.142796e-05 0.0081028433
XM_032379762.2  1.587634 5.526159 3.279348e-05 0.0081028433
XM_001631945.2  1.923654 5.541921 3.414311e-05 0.0081028433

## SC (43)
Comparison of groups:  12-11 
                   logFC   logCPM       PValue          FDR
XR_007305401.1 -3.101414 9.001698 1.180916e-11 6.128952e-08
XR_007305681.1 -3.760850 9.692548 4.374080e-09 8.840601e-06
XM_048731672.1 -2.806722 6.700115 5.110174e-09 8.840601e-06
XM_001634477.3 -1.850064 5.171798 7.431143e-09 9.641908e-06
XR_004292988.2 -3.915200 7.722952 2.800029e-08 2.620192e-05
XM_032381817.2 -2.222290 6.687963 3.029123e-08 2.620192e-05
XM_032381798.2 -1.943568 7.079904 1.481661e-07 9.631213e-05
XM_032370603.2 -1.882420 6.731040 1.484580e-07 9.631213e-05
XM_032375039.2 -1.050644 4.223944 2.934794e-07 1.625657e-04
XR_007307226.1 -2.309364 5.515151 3.443133e-07 1.625657e-04
XM_048726115.1 -1.589966 4.846021 3.445516e-07 1.625657e-04
XR_007306627.1 -3.684187 8.381851 1.947599e-06 8.332097e-04
XM_048727377.1 -1.266934 4.880725 2.087038e-06 8.332097e-04
XM_048723243.1 -1.982219 7.322392 2.686404e-06 9.958884e-04
XM_048731381.1 -1.818440 8.177804 3.240818e-06 1.057360e-03
XM_001637966.3 -1.784611 8.050524 3.791751e-06 1.057360e-03
XM_048731023.1  1.703660 6.250633 3.882495e-06 1.057360e-03
XM_048731718.1 -1.799246 6.641761 4.214655e-06 1.057360e-03
XM_048734697.1 -1.313337 5.469580 4.767289e-06 1.057360e-03
XM_048731326.1 -1.463475 4.935398 4.806145e-06 1.057360e-03
XR_007306626.1 -1.265522 4.478307 4.813324e-06 1.057360e-03
XM_001638417.3  1.616087 5.980516 4.826988e-06 1.057360e-03
XM_048724741.1  2.515845 8.792676 4.877929e-06 1.057360e-03
XM_048720927.1 -1.610730 8.628281 4.889525e-06 1.057360e-03
XM_001636428.3 -2.877673 8.403195 8.937917e-06 1.855511e-03
XM_032378265.2  1.194068 4.995819 1.251194e-05 2.497577e-03
XM_048734254.1 -2.034042 8.306756 1.335169e-05 2.566492e-03
XM_048731952.1 -1.983230 6.142011 1.397499e-05 2.590365e-03
XR_004292730.1 -3.054666 7.657987 2.367246e-05 4.236553e-03
XM_048725419.1  2.068411 7.095714 2.894464e-05 4.946250e-03
XM_032371824.2 -1.661427 6.388964 3.061015e-05 4.946250e-03
XM_048725205.1 -1.619121 5.238951 3.061688e-05 4.946250e-03
XM_048730561.1 -1.029244 4.485798 3.145014e-05 4.946250e-03
XM_032367576.2  1.333356 6.170037 4.021354e-05 6.138478e-03
XR_007307117.1  1.141536 4.749399 5.169919e-05 7.666252e-03
XR_007307495.1 -1.510972 4.834041 5.577876e-05 7.937261e-03
XM_001631087.3  1.473842 5.957658 5.658548e-05 7.937261e-03
XM_032366754.2  1.265703 5.566990 6.054531e-05 7.960720e-03
XM_001633659.3 -1.450518 7.132233 6.118027e-05 7.960720e-03
XM_032382501.2  1.432104 7.251700 6.135430e-05 7.960720e-03
XM_048728941.1 -1.896753 7.983422 6.508121e-05 8.238329e-03
XM_032387003.2  1.175691 6.445463 7.136726e-05 8.818954e-03
XM_001626957.3  2.085009 8.134177 7.834037e-05 9.455500e-03

## FL (12)
Comparison of groups:  14-13 
                   logFC   logCPM       PValue          FDR
XR_007306819.1  3.270485 8.723267 2.168135e-07 0.0008949180
XM_048721243.1  1.841075 5.818669 3.606359e-07 0.0008949180
XM_048724741.1  2.130050 8.695316 8.306961e-07 0.0009518115
XM_048731718.1 -2.027117 7.221186 1.057196e-06 0.0009518115
XR_007306253.1 -1.911356 5.863803 1.129959e-06 0.0009518115
XM_001631917.3 -1.452546 5.758168 1.150689e-06 0.0009518115
XM_032382958.2 -1.243050 4.860036 6.990834e-06 0.0047238136
XM_001635407.3  1.870840 5.961413 7.614449e-06 0.0047238136
XM_001632539.3  1.919081 5.625528 1.078991e-05 0.0059500375
XM_032363830.2 -1.194237 4.922215 1.520858e-05 0.0075480196
XM_032385697.2 -1.724835 6.178259 1.713220e-05 0.0077297378
XM_048733319.1 -1.965794 5.254745 2.351029e-05 0.0097234641

