## DEGs of mapped genes


## T0s VS T14s ##


## NS (469)
Comparison of groups:  2-1 
                    logFC    logCPM       PValue          FDR
XM_048728999.1  0.8952891  6.376508 1.174355e-05 3.673820e-04
XM_032364145.2  1.0508113  5.195323 1.298080e-05 4.031962e-04
XM_048722628.1 -1.0057818  4.582263 1.300826e-05 4.031962e-04
XM_048726054.1  1.1209159  5.536487 1.446101e-05 4.461687e-04
XR_004293910.2  0.9490217  4.626440 1.500361e-05 4.607959e-04
XM_048722503.1  0.9005463  5.150356 1.509704e-05 4.615578e-04
XM_032372059.2 -0.8992729  4.668321 1.618639e-05 4.924450e-04
XM_032364263.2 -0.9193022  6.328775 1.625376e-05 4.924450e-04
XM_032363258.2  0.9388189  5.032178 1.699301e-05 5.125337e-04
XM_032363587.2 -0.9139686  5.251148 1.752783e-05 5.258832e-04
XM_032377074.2  1.2218740  7.448225 1.759199e-05 5.258832e-04
XM_048720696.1 -0.8749033  6.096228 1.791352e-05 5.331254e-04
XM_001633762.3  1.0270394  7.354625 1.873959e-05 5.552534e-04
XM_032381139.2 -0.8597332  6.480020 2.044964e-05 6.032643e-04
XM_001630669.3 -0.9283712  6.182694 2.140346e-05 6.286447e-04
XM_001639511.3  0.8921518  5.878273 2.168821e-05 6.342386e-04
XM_001625696.3  0.9862189  5.718048 2.362086e-05 6.862096e-04
XM_048731718.1 -0.8246246  5.743532 2.366944e-05 6.862096e-04
XM_001641466.3  1.0361246  5.816935 2.393254e-05 6.908596e-04
XM_048725306.1  0.9019909  5.092281 2.478439e-05 7.123924e-04
XM_048726448.1  0.9870234  4.522596 2.555168e-05 7.313218e-04
XM_032363157.2 -1.0146427  4.892243 2.704369e-05 7.707452e-04
XM_001638917.3 -1.0018866  6.964710 2.724396e-05 7.731766e-04
XR_004292988.2 -2.3543887  6.213450 2.750696e-05 7.773606e-04
XR_007312561.1  1.1564665  6.229963 2.841146e-05 7.995627e-04
XM_048723473.1  0.8530589  6.481210 2.929272e-05 8.197475e-04
XM_048731735.1  0.8993954  4.684557 2.937246e-05 8.197475e-04
XM_048723718.1 -0.8425901  5.052340 2.977337e-05 8.275028e-04
XM_032375470.2  0.9684366  5.790807 3.019882e-05 8.333678e-04
XM_001636575.3 -0.8296927  6.118317 3.028623e-05 8.333678e-04
XM_032364888.2  0.8691556  5.264028 3.035610e-05 8.333678e-04
XM_032361894.2 -1.1953602  6.160915 3.289473e-05 8.993901e-04
XM_001632149.3 -0.9456670  4.707796 3.329628e-05 9.066832e-04
XM_032376414.2  0.8840376  5.119432 3.486366e-05 9.418308e-04
XM_048720321.1  0.9958875  7.300039 3.488515e-05 9.418308e-04
XM_048721243.1  0.9836778  6.153549 3.500709e-05 9.418308e-04
XR_004295126.2 -0.7928593  4.545594 3.703316e-05 9.923706e-04
XM_032366219.2 -0.9448489  4.416998 3.769329e-05 1.006052e-03
XM_032385756.2  1.1369176  4.998977 3.903047e-05 1.037624e-03
